label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
GER-LBL-001	ROLE-006	de	de-DE	Latn	Trainer	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	Current Rennordnung licenses and regulates trainers; qualification details remain German.
GER-LBL-002	ROLE-011	de	de-DE	Latn	Besitzertrainer	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	Current Rennordnung treats Besitzertrainer as a distinct licensed owner-trainer category.
GER-LBL-003	ROLE-001	de	de-DE	Latn	Berufsrennreiter	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	Current Rennordnung uses Berufsrennreiter for the licensed professional race-rider category.
GER-LBL-004	ROLE-004	de	de-DE	Latn	Amateurrennreiter	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	Current Rennordnung uses Amateurrennreiter for the licensed amateur rider category.
GER-LBL-005	ROLE-008	de	de-DE	Latn	Besitzer	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	Current Rennordnung uses Besitzer for the racehorse owner in ownership and training provisions.
GER-LBL-006	ROLE-017	de	de-DE	Latn	Starter	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	Richtlinie R4 assigns the Starter responsibility for conducting and organizing the start.
GER-LBL-007	ROLE-018	de	de-DE	Latn	Zielrichter	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	The Rennordnung assigns the Zielrichter determination of finishing order and finish margins.
GER-LBL-008	ROLE-019	de	de-DE	Latn	Ausgleicher	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	The Rennordnung and Richtlinie R1 use Ausgleicher for the official setting handicap assessments/weights.
GER-LBL-009	VENUE-001	de	de-DE	Latn	Rennbahn	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	The Rennordnung uses Rennbahn for the racecourse and prescribes racecourse facilities and condition.
GER-LBL-010	ROLE-022	de	de-DE	Latn	Tierarzt	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	The Rennordnung assigns veterinary checks and raceday duties to the Tierarzt.
GER-LBL-011	ROLE-023	de	de-DE	Latn	Hufschmied	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	The Rennordnung requires Hufschmied presence within raceday/start operations.
GER-LBL-012	VENUE-024	de	de-DE	Latn	Startmaschine	regional_official	Germany	Deutscher Galopp	Flat	regulatory	current_reference	source_verified	GER-SRC-002	Richtlinie R4 uses Startmaschine for the starting-gate equipment checked and positioned for the race start.
