review_id	focus_ids	issue_type	jurisdiction_scope	issue	evidence_ids	decision_needed	priority
RELREV-001	MEET-002;MEET-001	polysemy_and_scope	GLOBAL;France	Seed treats Meeting as a near-short-form of Race meeting, but France Galop defines Meeting as multiple réunions at one racecourse over a period, while Réunion is the same-day race collection.	REL-SRC-001	Split Meeting by jurisdiction/sense; create a France-specific multi-réunion Concept or sense before any global merge with Race meeting.	P0
RELREV-002	MEET-028;MEET-029	jurisdiction_definition_conflict	US;GB;IRE	Off time cannot be globally fixed as scheduled start. ARCI defines it as the actual moment starting-gate doors open; GB/IRE operational usage must be separately verified.	USCA-SRC-001	Split scheduled vs actual start semantics by jurisdiction and revise MEET-028 scope/definition before public readiness.	P0
RELREV-003	VENUE-002;VENUE-001;VENUE-003	polysemy	GLOBAL;North America	Racetrack can denote the whole venue or the physical track, so one exact-equivalence edge to Racecourse would erase a common sense.		Add sense-scoped definitions/evidence; decide whether physical-racetrack sense requires a separate Concept.	P0
RELREV-004	VENUE-003;VENUE-001;VENUE-004	polysemy	GLOBAL	Track can mean venue, running surface, or physical course/path depending on context.		Keep current related edges; collect authority examples by jurisdiction and decide whether Track should remain a polysemous Concept or be sense-split.	P0
RELREV-005	SURF-011;SURF-012	equivalence_scope	GLOBAL;GB;IRE;US;Japan;Australia	Going and Track condition overlap but are not one universal taxonomy. GB Going, North American track-condition codes, JRA four-stage conditions and Australian numeric ratings differ structurally.	GBIRE-SRC-003;USCA-SRC-007;JP-SRC-014;JP-SRC-015	Decide whether Going is narrower than a broader surface-condition Concept or remains a jurisdiction-specific counterpart; do not mark exact-equivalent.	P0
RELREV-006	MEET-004;MEET-005	duplicate_concept_candidate	English	Race day and Raceday are spelling variants already marked exact-equivalent.		Merge into one Concept plus orthographic/regional label during schema cleanup unless an authority-specific semantic distinction is found.	P1
RELREV-007	BET-030;BET-031	duplicate_concept_candidate	English	Favorite and Favourite are spelling variants already marked exact-equivalent.		Merge into one Concept plus en-US/en-GB labels during schema cleanup.	P1
RELREV-008	RTYPE-005;RTYPE-006	duplicate_concept_candidate	GB;IRE	Bumper is a current colloquial/operational name for National Hunt Flat Race, so two Concept identities likely duplicate one underlying race type.	REG-SRC-001;GBIRE-SRC-008	Prefer one Concept with Bumper/Bumpers as labels unless a jurisdiction rule creates a real distinction.	P1
RELREV-009	RTYPE-017;RTYPE-021;RTYPE-018;RTYPE-022;RTYPE-019;RTYPE-023;RTYPE-020;RTYPE-024	false_synonym_risk	International	Group and Grade occupy corresponding international quality levels but are authority/system labels, not universally interchangeable terminology.	REL-SRC-003	Keep separate Concepts or model one abstract quality tier plus jurisdiction labels; never flatten Group into Grade by translation alone.	P0
RELREV-010	REG-022;REG-042	cross_language_equivalence	North America;France	North American Rabbit and France Galop tactical leader both describe pace-making for another horse with aligned interests, but exact semantic/entry-relationship equivalence is not yet established.	REG-SRC-008;REG-SRC-011	Collect rule/industry examples and choose close_equivalent, regional_counterpart, or two related Concepts.	P1
RELREV-011	REG-041	missing_concept_and_cross_system_relation	France;GB;IRE	France Galop Musique is a compact recent-form notation and explicitly notes reverse ordering versus GB/IRE conventions; master lacks a general race-form-notation Concept.	REL-SRC-001	Create a form-notation Concept, then model France notation and GB/IRE form strings as regional implementations/contrasts.	P0
RELREV-012	TRAIN-023;TRAIN-021	equivalence_scope	Australia;New Zealand;GLOBAL	Spell/Spelling is a deliberate recuperative break, while Layoff can simply denote an extended absence from racing.	REG-SRC-013	Retain related relation; consider narrower/broader only after broader regional definitions are sourced.	P2
RELREV-013	REG-046;REG-059	cross_jurisdiction_candidate	Australia;New Zealand	Mudlark is corroborated in current AU and NZ authority material as a horse that handles wet/heavy going well; no existing horse-aptitude Concept fits.	REG-SRC-012;REG-SRC-014	Decide standalone wet-track-aptitude Concept vs register-only label, then relate to surface-condition Concepts without treating horse aptitude as track state.	P1
RELREV-014	REG-049;REG-055;REG-056	cross_jurisdiction_running_state	Australia;New Zealand	Under double wraps and On the bit/bridle both describe travelling easily with little urging, while Off the bit/bridle is the contrasting pressured state.	REG-SRC-012;REG-SRC-013	Determine whether a broader travelling-easily Concept and contrast state should be created with regional labels.	P1
RELREV-015	REG-016;REG-047	cross_language_betting_market_relation	Japan;Australia	一本かぶり and backed off the map both concern concentrated betting support but differ in whether the emphasis is overwhelming favorite concentration or market backing/movement.	REG-SRC-003;REG-SRC-012	Model a betting-market-support family and choose narrower/related/regional-counterpart relations rather than forcing synonymy.	P1
