label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
AH-LBL-001	RTYPE-107	en		Latn	Group 1 PA	official_display	International	IFAHR	Arabian	formal	current	source_verified	AH-SRC-001	Current IFAHR filter label.
AH-LBL-002	RTYPE-107	en		Latn	GR1 PA	operational_variant	International	IFAHR	Arabian	formal	current	source_verified	AH-SRC-003	Observed IFAHR race-record form.
AH-LBL-003	RTYPE-108	en		Latn	Group 2 PA	official_display	International	IFAHR	Arabian	formal	current	source_verified	AH-SRC-001	Current IFAHR filter label.
AH-LBL-004	RTYPE-108	en		Latn	Gr2 PA	operational_variant	International	IFAHR	Arabian	formal	current	source_verified	AH-SRC-003	Observed IFAHR race-record form.
AH-LBL-005	RTYPE-109	en		Latn	Group 3 PA	official_display	International	IFAHR	Arabian	formal	current	source_verified	AH-SRC-001	Current IFAHR filter label.
AH-LBL-006	RTYPE-109	en		Latn	Gr3 PA	operational_variant	International	IFAHR	Arabian	formal	current	source_verified	AH-SRC-003	Observed IFAHR race-record form.
AH-LBL-007	DISC-008	fr	fr-FR	Latn	trot attelé	regional_official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	French discipline label mapped to existing Harness Racing concept.
AH-LBL-008	DISC-008	fr	fr-FR	Latn	attelé	short_form	France	SETF	Harness	programme	current	source_verified	AH-SRC-005	Current programme form.
AH-LBL-009	DISC-011	fr	fr-FR	Latn	trot monté	regional_official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	French mounted-trotting label mapped to existing Monté concept.
AH-LBL-010	DISC-011	fr	fr-FR	Latn	monté	short_form	France	SETF	Harness	programme	current	source_verified	AH-SRC-005	Current programme form.
AH-LBL-011	RTYPE-110	fr	fr-FR	Latn	Course Nationale	official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	Current SETF programme classification.
AH-LBL-012	RTYPE-111	fr	fr-FR	Latn	Course Européenne	official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	Current SETF programme classification.
AH-LBL-013	RTYPE-112	fr	fr-FR	Latn	Course Internationale	official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	Current SETF programme classification.
AH-LBL-014	RUN-045	fr	fr-FR	Latn	Départ à l’Autostart	official_programme	France	SETF	Harness	formal	current	source_verified	AH-SRC-005	Current 2026 programme heading/form.
AH-LBL-015	RUN-045	fr	fr-FR	Latn	départ à l’autostart	official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	Current SETF procedure heading.
AH-LBL-016	RUN-045	fr	fr-FR	Latn	autostart	short_form	France	SETF	Harness	general	current	source_verified	AH-SRC-004	Common official short reference to the device/procedure.
AH-LBL-017	EQUIP-022	fr	fr-FR	Latn	déferré des quatre	regional_official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	All four shoes removed; maps to existing Barefoot concept.
AH-LBL-018	EQUIP-022	fr	fr-FR	Latn	D4	abbreviation	France	SETF	Harness	racecard	current	source_verified	AH-SRC-004	SETF explicitly defines D4 as antérieurs/postérieurs removed.
AH-LBL-019	EQUIP-029	fr	fr-FR	Latn	déferré des antérieurs	official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	Front shoes removed.
AH-LBL-020	EQUIP-029	fr	fr-FR	Latn	DA	abbreviation	France	SETF	Harness	racecard	current	source_verified	AH-SRC-004	Official SETF abbreviation.
AH-LBL-021	EQUIP-030	fr	fr-FR	Latn	déferré des postérieurs	official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	Hind shoes removed.
AH-LBL-022	EQUIP-030	fr	fr-FR	Latn	DP	abbreviation	France	SETF	Harness	racecard	current	source_verified	AH-SRC-004	Official SETF abbreviation.
AH-LBL-023	ENTRY-003	fr	fr-FR	Latn	déclaration des partants	regional_official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	Map to Declaration with France/SETF-specific procedure definition.
AH-LBL-024	TRAIN-014	fr	fr-FR	Latn	épreuves de qualification	regional_official	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	Qualification tests required before racing under SETF rules.
AH-LBL-025	RTYPE-018	fr	fr-FR	Latn	Groupe I	regional_display	France/Europe	SETF/UET	Harness	formal	current	source_verified	AH-SRC-008	Harness Group I label; linked to generic Group 1 concept rather than duplicated.
AH-LBL-026	RTYPE-019	fr	fr-FR	Latn	Groupe II	regional_display	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	French trotting Group II usage.
AH-LBL-027	RTYPE-020	fr	fr-FR	Latn	Groupe III	regional_display	France	SETF	Harness	formal	current	source_verified	AH-SRC-004	French trotting Group III usage.
