jurisdiction	authority	observed_term	mapping_target	mapping_type	verification_status	source_id	note
Australia	Racing Victoria	Benchmark Race	RTYPE-054	new_concept	source_verified	AUNZ-SRC-002	Rating-based handicap with no upper/lower eligibility limit in current Victorian definition.
Australia	Racing Australia	BENCHMARK 60 Handicap	RTYPE-054	qualified_label	source_verified	AUNZ-SRC-004	Numeric Benchmark value is an attribute/qualifier, not a separate Concept per number.
New Zealand	NZTR	BENCHMARK RATING 65 HCP	RTYPE-054	qualified_label	source_verified	AUNZ-SRC-010	Current NZTR programme form.
New Zealand	NZTR	BENCHMARK RATING 75 HCP	RTYPE-054	qualified_label	source_verified	AUNZ-SRC-010	Current NZTR programme form.
Australia	Racing Victoria	Rating Race	RTYPE-055	new_concept	source_verified	AUNZ-SRC-002	Eligibility determined by Rating at nominations close.
New Zealand	NZTR	RATING 60 HCP	RTYPE-055	regional_programme_form	source_verified	AUNZ-SRC-010	Keep distinct from Benchmark Rating race forms.
Australia	Racing Australia	Maiden Plate	RTYPE-056	new_concept	source_verified	AUNZ-SRC-005	Current 2026 programme: Maiden, Set Weights.
Australia	Racing Australia	Class 1 & Maiden Plate	RTYPE-057	new_concept	source_verified	AUNZ-SRC-006	Current 2026 combined regional race type.
Australia	Racing Victoria	Benchmark Rating	WEIGHT-025	new_concept	source_verified	AUNZ-SRC-002	Benchmark associated with race weights.
New Zealand	NZTR	Benchmark Rating	WEIGHT-025	regional_usage	source_verified	AUNZ-SRC-010	Explicit in current programme naming.
Queensland	Racing Australia	Base Rating	WEIGHT-026	new_candidate	candidate	AUNZ-SRC-004	Repeated current operational field; dedicated QLD handicapping definition still needed.
Australia	Racing Victoria	True Weight	WEIGHT-027	new_concept	source_verified	AUNZ-SRC-002	Used in current Victorian handicap explanation.
Australia	Racing Australia	True Weight	WEIGHT-027	operational_field	source_verified	AUNZ-SRC-004	Current Racing Australia field column.
Australia	Racing Australia	Emergency acceptor	ENTRY-031	new_concept	source_verified	AUNZ-SRC-001	Defined procedurally by AR 58.
Australia	Racing Australia	EM	ENTRY-031	abbreviation	source_verified	AUNZ-SRC-004	Field-limit display such as 15 + 5 EM.
Australia	Racing Australia	Barrier	ENTRY-030	regional_counterpart	source_verified	AUNZ-SRC-001	Allocated starting position determined by barrier draw.
New Zealand	NZTR	Barrier	ENTRY-030	regional_usage	source_verified	AUNZ-SRC-008	Current Rules use designated barrier position and starting barrier terminology.
Australia	Racing Victoria	Track Rating	SURF-035	new_concept	source_verified	AUNZ-SRC-003	Official 1–10 turf-condition system.
Australia	Racing Victoria	Firm 1	SURF-013	regional_label	source_verified	AUNZ-SRC-003	Numeric Track Rating 1.
Australia	Racing Victoria	Firm 2	SURF-013	regional_label	source_verified	AUNZ-SRC-003	Numeric Track Rating 2.
Australia	Racing Victoria	Good 3	SURF-015	regional_label	source_verified	AUNZ-SRC-003	Numeric Track Rating 3.
Australia	Racing Victoria	Good 4	SURF-015	regional_label	source_verified	AUNZ-SRC-003	Numeric Track Rating 4.
Australia	Racing Victoria	Soft 5	SURF-017	regional_label	source_verified	AUNZ-SRC-003	Numeric Track Rating 5.
Australia	Racing Victoria	Soft 6	SURF-017	regional_label	source_verified	AUNZ-SRC-003	Numeric Track Rating 6.
Australia	Racing Victoria	Soft 7	SURF-017	regional_label	source_verified	AUNZ-SRC-003	Numeric Track Rating 7.
Australia	Racing Victoria	Heavy 8	SURF-018	regional_label	source_verified	AUNZ-SRC-003	Numeric Track Rating 8.
Australia	Racing Victoria	Heavy 9	SURF-018	regional_label	source_verified	AUNZ-SRC-003	Numeric Track Rating 9.
Australia	Racing Victoria	Heavy 10	SURF-018	regional_label	source_verified	AUNZ-SRC-003	Numeric Track Rating 10.
Queensland	Racing Queensland	Penetrometer	SURF-036	new_concept	source_verified	AUNZ-SRC-007	Current race-day track information field.
Queensland	Racing Queensland	Going Stick Index	SURF-033	regional_usage	source_verified	AUNZ-SRC-007	Shows GoingStick terminology is not confined to GB.
Australia	Racing Queensland	Rail True	VENUE-020	qualified_label	source_verified	AUNZ-SRC-007	Rail-position operational form.
New Zealand	NZTR	Declaration of Riders	ENTRY-028	regional_counterpart	source_verified	AUNZ-SRC-010	NZ programme stage related to rider nomination/declaration.
New Zealand	NZTR	SWP	WEIGHT-005	abbreviation	source_verified	AUNZ-SRC-010	Set Weights and Penalties programme abbreviation.
New Zealand	NZTR	HCP	RTYPE-007	abbreviation	source_verified	AUNZ-SRC-010	Handicap programme abbreviation.
New Zealand	NZTR	MAAT	NEW-REVIEW-NZ-MAAT	new_candidate	candidate	AUNZ-SRC-010	Observed current programme code; exact expansion/semantics must be verified before Concept creation.
