source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
REG-SRC-001	GB	BHA	official_glossary	Glossary of race types	https://www.britishhorseracing.com/regulation/glossary-of-race-types/	2026-09-10	current_reference	National Hunt Flat Race; Bumpers; Apprentice/Conditional; Amateur races	BHA explicitly states National Hunt Flat races are also known as Bumpers.
REG-SRC-002	Japan/JRA	JRA	official_glossary	レースの種類、条件など — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/c10020_list.html	2026-09-10	current_reference	一般競走; 平場戦; 平場; 格上挑戦	Current JRA public glossary for programme terms and colloquial/alternate forms.
REG-SRC-003	Japan/JRA	JRA	official_glossary	勝馬投票券関係、投票関係 — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/c10050_list.html	2026-09-10	current_reference	一本かぶり; ヒモ; ながし; 馬券	Official JRA betting-language glossary; terms can be colloquial/reader-facing rather than formal wager names.
REG-SRC-004	Japan/JRA	JRA	official_glossary	厩舎ことば — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/c10140_list.html	2026-09-10	current_reference	斤量; カンパイ; ガレる; 口取り; 攻め馬; 鉄砲; お手馬; 親子どんぶり; ズブい; ソラを使う	Official source explicitly groups these terms as 厩舎ことば.
REG-SRC-005	Japan/JRA	JRA	official_glossary	道悪 — 競馬用語辞典	https://www.jra.go.jp/kouza/yougo/mi_list.html	2026-09-10	current_reference	道悪	JRA defines 道悪 as a stable-language aggregate for 重 or worse.
REG-SRC-006	Japan/JRA	JRA	official_rules_explainer	レースのクラス分け	https://www.jra.go.jp/keiba/rules/class.html	2026-09-10	current_reference	2019 class-name transition; 500万円以下; 1000万円以下; 1600万円以下; 1/2/3勝クラス	JRA states old/new names were co-displayed through 2020 and only new labels used from 2021.
REG-SRC-007	GB	BHA	official_press_release	BHA confirms six fixture alterations	https://www.britishhorseracing.com/press_releases/bha-confirms-six-fixture-alterations/	2026-09-10	historical_2021	Southwell Fibresand; Tapeta replacement	Use only to establish Southwell's 2021 surface change; it does not prove Fibresand is globally obsolete.
REG-SRC-008	North America	America's Best Racing	industry_education	Horse Racing Terminology: A Beginner's Guide to Common Racing and Betting Terms	https://www.americasbestracing.net/the-sport/2023-horse-racing-terminology-beginners-guide-common-racing-and-betting-terms	2026-09-10	current_reference	Chalk; Bridge jumper; Rabbit; running and betting jargon	Industry educational source; appropriate for established slang/register evidence, not regulatory definitions.
REG-SRC-009	North America	Equibase	industry_official_media	Breaking the Bank: Thrill of the Chase	https://cms.equibase.com/node/7389	2026-09-10	historical_but_reference	Chalk; Chalk player; Bridge jumper; Box; Bounce	Equibase-hosted explanation corroborates long-standing North American gambling terminology.
REG-SRC-010	North America	America's Best Racing	industry_education	Seventeen Words That Mean Something Different to Kentucky Derby Fans	https://www.americasbestracing.net/lifestyle/2026-seventeen-words-mean-something-different-kentucky-derby-fans	2026-09-10	current_2026	Bomb; Chalk	Recent industry-education evidence for current fan slang.
