query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-9001	ROLE-002		What does Aprendiz mean in Chilean horse racing?	en	es-CL	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-001
SQ-9002	ROLE-002		チリ競馬の「Aprendiz」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-001
SQ-9003	BET-003		What does Apuesta Mutua mean in Chilean horse racing?	en	es-CL	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-002
SQ-9004	BET-003		チリ競馬の「Apuesta Mutua」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-002
SQ-9005	ROLE-019		What does Handicaper mean in Chilean horse racing?	en	es-CL	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-003
SQ-9006	ROLE-019		チリ競馬の「Handicaper」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-003
SQ-9007	VENUE-001		What does Hipódromo Reconocido mean in Chilean horse racing?	en	es-CL	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-004
SQ-9008	VENUE-001		チリ競馬の「Hipódromo Reconocido」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-004
SQ-9009	ROLE-001		What does Jinete Profesional mean in Chilean horse racing?	en	es-CL	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-005
SQ-9010	ROLE-001		チリ競馬の「Jinete Profesional」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-005
SQ-9011	ROLE-006		What does Preparador mean in Chilean horse racing?	en	es-CL	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-006
SQ-9012	ROLE-006		チリ競馬の「Preparador」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-006
SQ-9013	ROLE-008		What does Propietario mean in Chilean horse racing?	en	es-CL	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-007
SQ-9014	ROLE-008		チリ競馬の「Propietario」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-007
SQ-9015	MEET-001		What does Reunión mean in Chilean horse racing?	en	es-CL	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-008
SQ-9016	MEET-001		チリ競馬の「Reunión」は日本語・英語でどう説明する？	ja	ja-JP	translation	local_label_translation	P1	concept_or_translation_sections	source_derived_reviewed	LATAM-LBL-008
