definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
BR-DEF-001	ROLE-017	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Árbitro de Partidaは、ブラジル規則で競走の発走準備と発走決定を担当する役員。	source_verified	BR-SRC-004	Regional definition on Starter.
BR-DEF-002	ROLE-012	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Cavalariçoは、競走馬の移動補助と日常の世話を担うブラジルの競馬専門職。	source_verified	BR-SRC-004	Regional definition on Groom.
BR-DEF-003	ROLE-009	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Criadorは、血統登録上、産駒出生時に母馬を所有していた個人または法人として扱われる生産者。	source_verified	BR-SRC-004	Brazil-specific breeder criterion remains scoped to the national register.
BR-DEF-004	VENUE-001	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Hipódromoは、ブラジル規則上、競馬を実施する場所を指す競馬場用語。	source_verified	BR-SRC-004	Regional official label on Racecourse.
BR-DEF-005	ENTRY-001	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Inscriçãoは、特定の競走へ参加するために馬を登録する手続を指す。	source_verified	BR-SRC-004	Regional definition on Entry.
BR-DEF-006	ROLE-001	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Jóqueiは、調教または競走で馬に騎乗する資格を持つブラジルの職業騎手。	source_verified	BR-SRC-004	Licensing details remain jurisdiction-specific.
BR-DEF-007	ROLE-002	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Jóquei Aprendizは、調教または規則で認められた競走に騎乗できる見習騎手区分。	source_verified	BR-SRC-004	Authorization conditions remain Brazil-specific.
BR-DEF-008	ROLE-022	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Médico Veterinárioは、競走馬の獣医療を担当する登録された競馬専門職。	source_verified	BR-SRC-004	Regional definition on Veterinarian.
BR-DEF-009	VENUE-024	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Partidorは、競走の発走に使用するStarting Gateを指すブラジルの公式用語。	source_verified	BR-SRC-004	Direct rule cross-reference supports the equipment mapping.
BR-DEF-010	RTYPE-011	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Páreos a reclamar ou de claimingは、規則で定める条件により出走馬を競走前後に取得できるブラジルのクレーミング競走。	source_verified	BR-SRC-004	Do not generalize Brazilian acquisition timing/procedure to all Claiming races.
BR-DEF-011	ROLE-008	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Proprietárioは、競走馬の所有権を持つ個人または法人を指す。	source_verified	BR-SRC-004	Regional definition on Owner.
BR-DEF-012	ROLE-006	Brazil	JCB / Regramento Nacional de Corridas	Flat	current_reference	Treinadorは、自らの責任下の競走馬を管理・準備する資格を持つブラジルの調教師。	source_verified	BR-SRC-004	Regional definition on Trainer.
