label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
USCA-LBL-001	RTYPE-045	en	en-US	Latn	MSW	abbreviation	US/Canada	Equibase	Flat	industry_standard	current	source_verified	USCA-SRC-003	Maiden Special Weight code.
USCA-LBL-002	RTYPE-046	en	en-US	Latn	WCL	abbreviation	US/Canada	Equibase	Flat	industry_standard	current	source_verified	USCA-SRC-003	Waiver Claiming code.
USCA-LBL-003	RTYPE-047	en	en-US	Latn	WMC	abbreviation	US/Canada	Equibase	Flat	industry_standard	current	source_verified	USCA-SRC-003	Waiver Maiden Claiming code.
USCA-LBL-004	RTYPE-048	en	en-US	Latn	OCH	abbreviation	US/Canada	Equibase	Flat	industry_standard	current	source_verified	USCA-SRC-003	Optional Claiming Handicap code.
USCA-LBL-005	RTYPE-049	en	en-US	Latn	MOC	abbreviation	US/Canada	Equibase	Flat	industry_standard	current	source_verified	USCA-SRC-003	Maiden Optional Claiming code.
USCA-LBL-006	RTYPE-050	en	en-US	Latn	CLH	abbreviation	US/Canada	Equibase	Flat	industry_standard	current	source_verified	USCA-SRC-003	Claiming Handicap code.
USCA-LBL-007	RTYPE-051	en	en-US	Latn	CST	abbreviation	US/Canada	Equibase	Flat	industry_standard	current	source_verified	USCA-SRC-003	Claiming Stakes code.
USCA-LBL-008	RTYPE-010	en	en-US	Latn	STR	abbreviation	US/Canada	Equibase	Flat	industry_standard	current	source_verified	USCA-SRC-003	Starter Allowance code.
USCA-LBL-009	RUN-017	en	en-CA	Latn	Locked In	regional	Canada	Standardbred Canada	Harness	colloquial_industry	current	source_verified	USCA-SRC-008	Alias of Boxed In.
USCA-LBL-010	RUN-039	en	en-US	Latn	X	chart_code	US	USTA	Harness	machine_chart	current	source_verified	USCA-SRC-007	Break chart-call code.
USCA-LBL-011	SURF-022	en	en-US	Latn	Wet-Fast	regional	US	USTA	Harness	machine_chart	current	source_verified	USCA-SRC-007	USTA hyphenated track-condition form.
USCA-LBL-012	BET-015	en	en-CA	Latn	Exactor	regional	Canada	Standardbred Canada	Harness	industry	current	source_verified	USCA-SRC-008	Canadian regional name for Exacta.
USCA-LBL-013	BET-015	en	en-CA	Latn	Perfecta	alternate	Canada	Standardbred Canada	Harness	industry	current	source_verified	USCA-SRC-008	Alternative Exacta label in Canadian harness material.
USCA-LBL-014	BET-016	en	en-CA	Latn	Triactor	regional	Canada	Standardbred Canada	Harness	industry	current	source_verified	USCA-SRC-008	Canadian regional name for Trifecta.
USCA-LBL-015	BET-030	en	en-US	Latn	Favorite	preferred	US	Equibase	Flat	general	current	candidate		Keep alongside Favourite regional spelling; dedicated source verification later.
USCA-LBL-016	BET-031	en	en-CA	Latn	Favourite	preferred	Canada	Standardbred Canada	Harness	general	current	source_verified	USCA-SRC-008	Canadian spelling in current glossary.
