jurisdiction	authority	observed_term	mapping_target	mapping_type	verification_status	source_id	note
US/Canada	Equibase	Maiden Special Weight	RTYPE-045	new_concept	source_verified	USCA-SRC-003	North American non-claiming maiden race type.
US/Canada	Equibase	MSW	RTYPE-045	official_or_industry_abbreviation	source_verified	USCA-SRC-003	Preserve as regional abbreviation.
US/Canada	Equibase	Waiver Claiming	RTYPE-046	new_concept	source_verified	USCA-SRC-003	One or more horses may be protected from claim subject to regulation.
US/Canada	Equibase	Waiver Maiden Claiming	RTYPE-047	new_concept	source_verified	USCA-SRC-003	Maiden claiming variant.
US/Canada	Equibase	Optional Claiming Handicap	RTYPE-048	new_concept	source_verified	USCA-SRC-003	Optional Claiming under handicap conditions.
US/Canada	Equibase	Maiden Optional Claiming	RTYPE-049	new_concept	source_verified	USCA-SRC-003	Maiden + optional claiming conditions.
US/Canada	Equibase	Claiming Handicap	RTYPE-050	new_concept	source_verified	USCA-SRC-003	Claiming + handicap conditions.
US/Canada	Equibase	Claiming Stakes	RTYPE-051	new_concept	source_verified	USCA-SRC-003	Claiming race with stake-like fees added to purse.
US/Canada	Equibase	Training Race	RTYPE-052	new_concept	source_verified	USCA-SRC-003	Equibase reserves this race type for steeplechase context.
US/Canada	Equibase	Starter Allowance	RTYPE-010	exact_or_regional_definition	source_verified	USCA-SRC-003	Existing Concept; North American semantics now source-backed.
US/Canada	Equibase	STR	RTYPE-010	abbreviation	source_verified	USCA-SRC-003	Starter Allowance code.
US	ARCI	Off Time	MEET-028	jurisdiction_specific_definition	source_verified	USCA-SRC-001	ARCI defines actual dispatch moment when starting-gate doors open; existing GB/IRE-biased scope must not be treated as universal.
US/Canada	Equibase	Post Time	MEET-027	regional_usage	source_verified	USCA-SRC-003	North American chart/data field.
US/Canada	Equibase	Point of Call	RUN-042	new_concept	source_verified	USCA-SRC-004	Intermediate race observation point.
Canada	Standardbred Canada	Post Position	ENTRY-030	new_concept	source_verified	USCA-SRC-008	Harness glossary usage.
Canada	Standardbred Canada	Entry	ENTRY-029	homonym_or_regional_definition	source_verified	USCA-SRC-008	Harness glossary uses Entry for two or more horses with common ownership; do not collapse into generic ENTRY-001 registration act.
Canada	Standardbred Canada	First Over	RUN-043	new_concept	source_verified	USCA-SRC-008	Harness position/race-progress term.
Canada	Standardbred Canada	Boxed In	RUN-017	exact_or_regional_definition	source_verified	USCA-SRC-008	Harness-specific detailed use.
Canada	Standardbred Canada	Locked In	RUN-017	regional_alias	source_verified	USCA-SRC-008	Alias of Boxed In in Canadian harness glossary.
US	USTA	Rough Gaited	RUN-044	new_concept	source_verified	USCA-SRC-007	Harness chart call.
US	USTA	X	RUN-039	chart_code	source_verified	USCA-SRC-007	Break chart call code.
US/Canada	Standardbred Canada	Hopples	EQUIP-026	new_concept	source_verified	USCA-SRC-008	Major pacing equipment term.
Canada	Standardbred Canada	Time Trial	TRAIN-024	new_concept	source_verified	USCA-SRC-008	Non-competitive timed harness performance.
Canada	Standardbred Canada	Qualifier	TRAIN-015	jurisdiction_specific_definition	source_verified	USCA-SRC-008	Must meet an established mile time standard to qualify for pari-mutuel racing.
Canada	Standardbred Canada	Catch Driver	ROLE-030	new_concept	source_verified	USCA-SRC-008	Freelance/hired harness driver role.
Canada	Standardbred Canada	Handle	BET-041	new_concept	source_verified	USCA-SRC-008	Total amount wagered on a racing card.
Canada	Standardbred Canada	Tote Board	BET-042	new_concept	source_verified	USCA-SRC-008	Displays odds, handle-related information, results and payouts.
Canada	Standardbred Canada	Exactor	BET-015	regional_alias	source_verified	USCA-SRC-008	Canadian harness regional name for Exacta.
Canada	Standardbred Canada	Perfecta	BET-015	regional_alias	source_verified	USCA-SRC-008	Alternative regional name for Exacta.
Canada	Standardbred Canada	Triactor	BET-016	regional_alias	source_verified	USCA-SRC-008	Canadian regional name for Trifecta.
US	USTA	Slow	SURF-034	new_concept	source_verified	USCA-SRC-007	Harness Track Condition code SL.
US	USTA	Wet-Fast	SURF-022	regional_spelling	source_verified	USCA-SRC-007	USTA hyphenated track-condition label; map to Wet Fast Concept.
Canada	CPMA	Pari-mutuel betting	BET-003	federal_regulatory_usage	source_verified	USCA-SRC-005	Federal regulatory terminology.
Canada	CPMA	Betting theatre	NEW-REVIEW-CAN-BETTING-THEATRE	new_candidate	candidate	USCA-SRC-005	Regulatory venue/access concept; review whether it belongs in user-facing horse-racing glossary or a regulatory subdomain.
