definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
AH-DEF-001	RTYPE-107	International	IFAHR	Arabian	current_reference	Group 1 PAはIFAHRのArabian racingデータでGroup 1として扱われるPA競走区分。generic Group 1と意味領域が重なるが、Arabian racing固有の分類文脈を保持する。	source_verified	AH-SRC-001/002	Do not merge away PA context.
AH-DEF-002	RTYPE-108	International	IFAHR	Arabian	current_reference	Group 2 PAはIFAHRがArabian racingで用いる第2層のGroup区分。	source_verified	AH-SRC-001/002	
AH-DEF-003	RTYPE-109	International	IFAHR	Arabian	current_reference	Group 3 PAはIFAHRがArabian racingで用いる第3層のGroup区分。	source_verified	AH-SRC-001/002	
AH-DEF-004	DISC-008	France	SETF	Harness	current_2026	フランスのtrot atteléは、馬がsulkyを曳きdriverが操るトロット競走の公式・番組用語。既存Harness Racing Conceptの地域Labelとして扱う。	source_verified	AH-SRC-004/005	
AH-DEF-005	DISC-011	France	SETF	Harness	current_2026	フランスのtrot montéは、騎乗者が馬上から競走するmounted trottingの公式・番組用語。既存Monté Conceptの地域Labelとして扱う。	source_verified	AH-SRC-004/005	
AH-DEF-006	RTYPE-110	France	SETF	Harness	current_2026	Course NationaleはTrotteur Françaisの血統登録・出生等についてSETFが定める国内資格条件を満たす馬に限定する競走区分。	source_verified	AH-SRC-004	Exact eligibility follows current code/programme wording.
AH-DEF-007	RTYPE-111	France	SETF	Harness	current_2026	Course EuropéenneはEUまたは同等地域のTrotter stud-book登録馬等に開くSETFの競走区分。	source_verified	AH-SRC-004	
AH-DEF-008	RTYPE-112	France	SETF	Harness	current_2026	Course Internationaleは国を問わずTrotter stud-book登録馬に開くSETFの競走区分。	source_verified	AH-SRC-004	
AH-DEF-009	ENTRY-003	France	SETF	Harness	current_2026	SETFでは馬は所定日時・場所までにdéclaré partantとなっていなければ競走へ参加できない。一般的Declaration Conceptにフランス固有の手続定義を付与する。	source_verified	AH-SRC-004	
AH-DEF-010	TRAIN-014	France	SETF	Harness	current_2026	SETFのépreuves de qualificationは、Code des courses au Trotに基づき競走参加前に馬が満たすべき資格試験。	source_verified	AH-SRC-004	Requalification is related but not promoted as a separate Concept in this pass.
AH-DEF-011	RUN-045	France	SETF	Harness	current_2026	Départ à l’autostartでは抽選で割り当てられた位置・列を保ち、移動式autostartの後方から発走する。装置Conceptと発走手続Conceptを分離する。	source_verified	AH-SRC-004/005	
AH-DEF-012	EQUIP-022	France	SETF	Harness	current_2026	D4はフランス・トロットで前後肢すべての蹄鉄を外して出走する状態を示す公式略号。既存Barefoot Conceptの地域表現とする。	source_verified	AH-SRC-004/006	
AH-DEF-013	EQUIP-029	France	SETF	Harness	current_2026	DAはantérieurs、すなわち前肢の蹄鉄を外して出走する部分的なdéferré状態。	source_verified	AH-SRC-004/006	
AH-DEF-014	EQUIP-030	France	SETF	Harness	current_2026	DPはpostérieurs、すなわち後肢の蹄鉄を外して出走する部分的なdéferré状態。	source_verified	AH-SRC-004/006	
AH-DEF-015	RTYPE-018	France/Europe	SETF/UET	Harness	current_2026	フランス・欧州HarnessでもGroupe I/Group Iの格付け表示が現行使用される。generic Group 1 ConceptにHarness地域Labelを付す。	source_verified	AH-SRC-008	Do not create duplicate French Group I concept.
