label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
GBIRE-LBL-001	RTYPE-006	en	en-IE	Latn	Irish National Hunt Flat Race	official	IRE	IHRB	Jump	formal	current	source_verified	GBIRE-SRC-008	Regional official name for the National Hunt Flat Race concept.
GBIRE-LBL-002	RTYPE-006	en	en-IE	Latn	I.N.H. Flat Race	abbreviation	IRE	IHRB	Jump	formal	current	source_verified	GBIRE-SRC-008	IHRB explicitly states this may be used as the name/abbreviation.
GBIRE-LBL-003	RTYPE-005	en	en-IE	Latn	Bumper	regional	IRE	IHRB	Jump	colloquial_operational	current	source_verified	GBIRE-SRC-008	Current IHRB operational use confirms Bumper/Bumpers is not merely informal media slang.
GBIRE-LBL-004	RTYPE-005	en	en-IE	Latn	Bumpers	regional	IRE	IHRB	Jump	colloquial_operational	current	source_verified	GBIRE-SRC-008	Plural operational label used on IHRB Safety Limits.
GBIRE-LBL-005	MEET-039	en	en-IE	Latn	Daily Ground Reports	regional	IRE	IHRB	ALL	formal	current	source_verified	GBIRE-SRC-010	IHRB Raceday uses this label for ground updates for upcoming fixtures.
GBIRE-LBL-006	MEET-039	en	en-IE	Latn	Ground Reports	regional	IRE	IHRB	ALL	formal	current	source_verified	GBIRE-SRC-010	Regional operational counterpart to Going report.
GBIRE-LBL-007	ENTRY-018	en	en-IE	Latn	Non Runner	regional	IRE	IHRB	ALL	formal	current	source_verified	GBIRE-SRC-009	Current IHRB public wording; preserve spacing as observed.
GBIRE-LBL-008	WEIGHT-009	en	en-IE	Latn	Winner's penalty	regional	IRE	IHRB	ALL	formal	current	source_verified	GBIRE-SRC-009	Operational weight term used in reserve/non-runner procedures.
GBIRE-LBL-009	ROLE-016	en	en-IE	Latn	Raceday Stewards	regional	IRE	IHRB	ALL	formal	current	source_verified	GBIRE-SRC-010	Collective regional label for stewards acting on raceday.
GBIRE-LBL-010	DISC-006	en	en-GB	Latn	Steeple Chase	official	GB	BHA	Jump	formal	current	source_verified	GBIRE-SRC-001	BHA official wording; preserve two-word form as observed in rules text.
GBIRE-LBL-011	DISC-005	en	en-GB	Latn	Hurdle Race	official	GB	BHA	Jump	formal	current	source_verified	GBIRE-SRC-002	BHA race-planning terminology.
GBIRE-LBL-012	SURF-014	en	en-GB	Latn	Good to Firm (Firm in Places)	qualified_label	GB	BHA	Flat	formal	current	source_verified	GBIRE-SRC-003	Compositional qualified going description; not a separate base condition Concept.
GBIRE-LBL-013	SURF-015	en	en-GB	Latn	Good (fast)	qualified_label	GB	BHA	ALL	formal	current	source_verified	GBIRE-SRC-003	Parenthetical BHA qualifier.
GBIRE-LBL-014	SURF-015	en	en-GB	Latn	Good (slow)	qualified_label	GB	BHA	ALL	formal	current	source_verified	GBIRE-SRC-003	Parenthetical BHA qualifier.
GBIRE-LBL-015	MEET-001	en	en-IE	Latn	Recognised Meeting	regional	IRE	IHRB	ALL	formal	current	candidate		Needs dedicated current-rulebook source row before promotion.
