query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-1001	BREED-001		what is Pedigree in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1002	BREED-001		競馬の「血統」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1003	BREED-002		what is Sire in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1004	BREED-002		競馬の「父馬」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1005	BREED-003		what is Dam in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1006	BREED-003		競馬の「母馬」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1007	BREED-004		what is Damsire in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1008	BREED-004		競馬の「母父」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1009	BREED-015		what is Stud book in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1010	BREED-015		競馬の「血統登録簿」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1011	DISC-001		what is Flat racing in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1012	DISC-001		競馬の「平地競馬」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1013	DISC-002		what is Thoroughbred racing in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1014	DISC-002		競馬の「サラブレッド競馬」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1015	DISC-003		what is Jump racing in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1016	DISC-003		競馬の「障害競馬」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1017	DISC-008		what is Harness racing in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1018	DISC-008		競馬の「繋駕競走」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1019	DISC-009		what is Trotting in horse racing	en	global/en	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
SQ-1020	DISC-009		競馬の「トロット競走」とは	ja	ja-JP	definition	direct_definition	P0	concept_page	wave2_template_reviewed	active_source_verified_p0_concept
