source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
WF-SRC-001	GB	British Horseracing Authority	official_welfare_guidance	Pre-race examinations: What they are and how they work	https://www.britishhorseracing.com/pre-race-examinations-what-they-are-and-how-they-work/	2026-09-11	current_2026	Pre-race veterinary examination; Lameness; Veterinary scratch	BHA explains regulatory pre-race examinations, gait/soundness checks, signs of lameness and withdrawal on veterinary grounds when concerns remain.
WF-SRC-002	GB	British Horseracing Authority	official_welfare_guidance	The role of the BHA in horse welfare	https://www.britishhorseracing.com/regulation/role-of-the-bha-in-horse-welfare/	2026-09-11	current_reference	Post-race examination; Veterinary inspection	BHA states Veterinary Officers carry out pre-race checks and post-race checks after horses have run, with testing where appropriate.
WF-SRC-003	US	HISA	official_veterinary_guidance	HISA resources for veterinarians	https://www.hisaus.org/?occupation=veterinarians	2026-09-11	current_2026	Pre-race examination; Post-race examination; Unsound; Veterinary inspection	HISA identifies pre-race, post-race and ad-hoc examinations as regulatory-veterinarian work and lists unsoundness/medical compromise among Veterinarians' List grounds.
WF-SRC-004	US	HISA	official_health_advisory	HISA Issues Equine Health Advisory on the Veterinarians’ List	https://hisaus.org/news/hisa-issues-equine-health-advisory-on-the-veterinarians-list	2026-09-11	current_2026	Unsound; Veterinary scratch	Current advisory reports horses classified Unsound by Regulatory Veterinarians and horses scratched by Regulatory Veterinarians; use as a US/HISA regulatory sense, not a universal synonym.
WF-SRC-005	US	HIWU	official_admc_operations	HISA ADMC Program in Full Swing Under HIWU	https://www.hiwu.org/news/hisa-admc-program-in-full-swing-under-hiwu-belmont-stakes-to-be-first-triple-crown-race-run-under-program	2026-09-11	current_program_reference	Sample collection	HIWU documents uniform sample collection by trained personnel and multiple official testing types under the ADMC Program.
WF-SRC-006	GB	British Horseracing Authority	official_rules_guidance	The whip	https://www.britishhorseracing.com/regulation/the-whip-2-2-2/	2026-09-11	current_reference	Whip rules	BHA sets current limits and manner-of-use controls for the whip in Flat and Jump racing, with penalties for breaches.
WF-SRC-007	US	HISA	official_racetrack_safety_guidance	HISA resources for racetrack personnel	https://www.hisaus.org/?occupation=racetrack-personnel	2026-09-11	current_2026	Track safety; Race-day injury	HISA describes track-surface maintenance/testing, racetrack accreditation and safety-committee review of injuries, fatalities and other racetrack safety issues.
WF-SRC-008	US	HISA	official_metrics	HISA Publishes 2026 Second Quarter Metrics Report	https://hisaus.org/news/hisa-publishes-2026-second-quarter-metrics-report	2026-09-11	current_2026	Fatality; Race-day injury; Euthanasia	Current HISA metrics report racing/training-related equine fatalities, causes and horses with career-ending injuries who otherwise would have been euthanized; reporting definitions are program-specific.
WF-SRC-009	GB	British Horseracing Authority	official_aftercare_guidance	Life after racing	https://www.britishhorseracing.com/regulation/life-after-racing/	2026-09-11	current_reference	Retirement; Rehoming; Euthanasia	BHA describes post-racing retirement pathways, retraining/rehoming and welfare-based euthanasia where responsible rehoming is not possible.
WF-SRC-010	Australia	Racing Australia	official_annual_report	Racing Australia Annual Report 2025 — Welfare and Traceability	https://publishingservices.racingaustralia.horse/Newsletters/2025_Racing_Australia_Annual_Report/	2026-09-11	current_2025	Retirement; Rehoming; Euthanasia; Race-day injury	National reporting distinguishes retirement pathways/reasons, assisted rehoming, end-of-life outcomes and whether injuries occurred during work including race day.
WF-SRC-011	International	IFHA	official_welfare_guidance	Horse Welfare Committee and Principles of Good Practice	https://www.ifhaonline.org/default.asp?area=30&section=About+IFHA	2026-09-11	current_reference	Horse welfare; Injuries/fatalities; Emergency euthanasia; Aftercare; Whip	IFHA current Horse Welfare Committee material explicitly covers injury/fatality monitoring, emergency euthanasia on a racecourse, aftercare and use of the whip as welfare-practice areas.
