definition_id	concept_id	jurisdiction	authority	discipline	effective_scope	definition_ja_summary	verification_status	source_id	note
JP-DEF-001	RTYPE-058	Japan/JRA	JRA	Flat	current_reference	新馬競走は初出走馬のみが出走できるJRAのデビュー競走で、2008年から「メイクデビュー○○」の愛称が使われる。	source_verified	JP-SRC-008	JRA-specific newcomer race semantics.
JP-DEF-002	RTYPE-059	Japan/JRA	JRA	Flat	current_class_system	1勝クラスはJRAの収得賞金による条件クラスで、現行呼称は2019年夏季から導入され2021年から単独使用。	source_verified	JP-SRC-001	Do not translate into Allowance/Conditions race without jurisdiction explanation.
JP-DEF-003	RTYPE-060	Japan/JRA	JRA	Flat	current_class_system	2勝クラスはJRAの収得賞金による条件クラスの一つ。	source_verified	JP-SRC-001	JRA-specific class.
JP-DEF-004	RTYPE-061	Japan/JRA	JRA	Flat	current_class_system	3勝クラスはJRAの収得賞金による条件クラスで、オープン入り前の上位条件クラス。	source_verified	JP-SRC-001	JRA-specific class.
JP-DEF-005	RTYPE-063	Japan/JRA	JRA	ALL	current_reference	特別競走は一般競走と異なり特別登録を必要とし、現在の中央競馬ではすべてレース名が付き、重賞競走も含まれる。	source_verified	JP-SRC-002	A structural JRA race-program category.
JP-DEF-006	RTYPE-066	Japan/JRA	JRA	ALL	current_reference	重賞競走は特別競走のうち賞金・歴史・伝統・競走内容等により重要な意義を持ち格付けされた競走。JRAではGⅠ・GⅡ・GⅢを重賞と呼ぶ。	source_verified	JP-SRC-001	Japanese major-race category, not a generic synonym for Stakes Race.
JP-DEF-007	RTYPE-067	Japan/NAR	NAR	Flat	current_reference	ダートグレード競走は中央・地方を横断したダート主要競走を体系化し格付けする日本の競走体系。	source_verified	JP-SRC-012	Current programme evidence in JP-SRC-013.
JP-DEF-008	RTYPE-068	Japan/NAR	NAR	Flat	current_reference	交流競走は所属地区や中央・地方の所属に関係なく競走馬・騎手が対戦できる競走。	source_verified	JP-SRC-012	NAR official FAQ definition.
JP-DEF-009	SURF-037	Japan/JRA	JRA	Turf/Dirt	current_reference	良はJRA4段階のうち最も乾燥側。芝では踏みしめても表面がほとんど変化せず、ダートでは表層砂を握っても固まりにくい状態等を基準とする。	source_verified	JP-SRC-003	Surface-specific physical criteria exist within one official label.
JP-DEF-010	SURF-038	Japan/JRA	JRA	Turf/Dirt	current_reference	稍重は良より湿潤し、踏みしめて水は染み出ないが表面がやや凹む等の状態を示すJRA区分。	source_verified	JP-SRC-003	Not an exact synonym of foreign Good to Soft/Yielding etc.
JP-DEF-011	SURF-039	Japan/JRA	JRA	Turf/Dirt	current_reference	重は表面に水は浮いていないが、踏みしめると水が染み出す等の状態を示すJRA区分。	source_verified	JP-SRC-003	Not an exact synonym of foreign Heavy.
JP-DEF-012	SURF-040	Japan/JRA	JRA	Turf/Dirt	current_reference	不良は表面や足跡に水が浮いている状態を示すJRA4段階の最湿潤側区分。	source_verified	JP-SRC-003	Foreign condition mappings vary by jurisdiction.
JP-DEF-013	SURF-043	Japan/JRA	JRA	Flat	current_glossary	道悪はJRA厩舎ことばで、馬場状態の「重」以上をまとめて指す。	source_verified	JP-SRC-007	Colloquial aggregate; not a formal fifth condition grade.
JP-DEF-014	WEIGHT-001	Japan/JRA	JRA	ALL	current_reference	負担重量は騎手・鞍などを含めて出走馬が競走で負担する規定上の総重量。斤量は同義の厩舎ことばとして残る。	source_verified	JP-SRC-005	Label evidence for 斤量 from JP-SRC-006.
JP-DEF-015	WEIGHT-028	Japan/JRA	JRA	ALL	current_reference	別定は競走ごとに基準を設け、基本重量に収得賞金・勝利度数などによる増減を加えるJRAの負担重量方式。	source_verified	JP-SRC-005	Not exact equivalent to Australian Set Weights and Penalties.
JP-DEF-016	WEIGHT-029	Japan/JRA	JRA	ALL	current_reference	定量はJRAの別定のうち、収得賞金に関係なく年齢・性別を基準に一定の負担重量を定める方式。	source_verified	JP-SRC-005	Japanese system relation: Teiryō is a subtype of Bettei in JRA explanation.
JP-DEF-017	WEIGHT-030	Japan/JRA	JRA	Flat	current_reference	馬齢重量はJRAで主に同一年齢馬だけの2歳・3歳競走に用いる年齢・性別基準の重量方式。	source_verified	JP-SRC-005	Do not silently equate with every foreign WFA regime.
JP-DEF-018	PRIZE-011	Japan/JRA	JRA	ALL	current_reference	収得賞金は実際の賞金収入総額ではなく、JRAの競走条件・クラス区分に用いる算定上の賞金指標。	source_verified	JP-SRC-010	High-value comparison topic versus prize money/purse/earnings.
JP-DEF-019	PRIZE-012	Japan/JRA	JRA	ALL	current_reference	出走馬決定賞金は特定の競走で出走できる馬の順位決定に用いる算定指標で、古馬オープン等では収得賞金等を組み合わせて計算される。	source_verified	JP-SRC-011	Distinct from 収得賞金.
JP-DEF-020	RESULT-018	Japan/JRA	JRA	ALL	current_glossary	カンパイは発走委員が真正な発走でないと認めた場合に発走をやり直すことを指すJRA厩舎ことば。	source_verified	JP-SRC-006	Regional colloquial/historical label for false-start/restart concept.
