label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
REL2-LBL-001	MEET-001	en		Latn	Meeting	alternate	English-language racing		ALL	general_racing	current	reviewed_semantic		Single-event English racing sense only; France Galop Meeting is mapped separately to MEET-042.
REL2-LBL-002	MEET-004	en		Latn	Raceday	alternate_spelling	GB/IRE/Commonwealth		ALL	general_racing	current	reviewed_semantic		Merged from retired MEET-005; orthographic variant of Race day.
REL2-LBL-003	BET-030	en	en-GB	Latn	Favourite	regional_spelling	GB/IRE/Commonwealth		ALL	betting	current	reviewed_semantic		Merged from retired BET-031; same Concept as en-US Favorite.
REL2-LBL-004	RTYPE-006	en	en-GB	Latn	Bumper	colloquial_operational_name	GB	BHA	Jump	general_racing	current	source_verified	REG-SRC-001	BHA states National Hunt Flat races are also known as Bumpers.
REL2-LBL-005	RTYPE-006	en	en-IE	Latn	Bumpers	colloquial_operational_plural	Ireland	IHRB	Jump	general_racing	current	source_verified	GBIRE-SRC-008	Current IHRB operational use.
REL2-LBL-006	MEET-042	fr	fr-FR	Latn	Meeting	official_glossary_label	France	France Galop	Flat/Jump	general_racing	current	source_verified	REL-SRC-001	France Galop: ensemble de réunions sur un même hippodrome sur une durée donnée.
REL2-LBL-007	MEET-001	fr	fr-FR	Latn	Réunion	official_glossary_label	France	France Galop	Flat/Jump	general_racing	current	source_verified	REL-SRC-001	France Galop: ensemble des courses sur un même hippodrome la même journée.
REL2-LBL-008	RESULT-030	fr	fr-FR	Latn	Musique	regional_industry_label	France	France Galop	Flat/Jump	form_reading	current	source_verified	REL-SRC-001	Compact recent-result notation; France orders most recent to oldest.
REL2-LBL-009	RUN-046	en	en-US	Latn	Rabbit	regional_industry_label	North America	Industry media	Flat	industry_racing	current	source_verified	REG-SRC-008	Speed horse entered to create pace for another horse, commonly a stablemate.
REL2-LBL-010	RUN-046	fr	fr-FR	Latn	leader	regional_industry_label	France	France Galop	Flat	industry_racing	current	source_verified	REG-SRC-011	France Galop tactical sense: horse tasked with setting a sustained pace to benefit another horse sharing interests; not every generic French use of leader maps here.
