source_id	jurisdiction	authority	source_class	title	url	checked_at	currentness	covers	note
GBIRE-SRC-001	GB	BHA	official_rules	BHA Rules of Racing	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	2026-09-10	baseline_rules	definitions; race types; weights	Use with later rule-change notices where they supersede older embedded text.
GBIRE-SRC-002	GB	BHA	official_general_instruction	BHA General Instructions — Race Planning	https://media.britishhorseracing.com/bha/rules/BHAGI/Section2_Race_Planning.pdf	2026-09-10	current_reference	Novice; Maiden; Juvenile WFA Hurdle; NH Flat; programme requirements	Official terminology observed in race-planning instructions.
GBIRE-SRC-003	GB	BHA	official_general_instruction	BHA General Instructions — The Racecourse	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	2026-09-10	current_reference	Going; Going Report; GoingStick; Hard; Firm; Good to Firm; Good; Good to Soft; Soft; Heavy	Use for GB going taxonomy and reporting vocabulary.
GBIRE-SRC-004	GB	BHA	official_change_notice	Changes to the Rules of Racing — March 2025	https://www.britishhorseracing.com/press_releases/changes-to-the-rules-of-racing-march-2025/	2026-09-10	current_superseding_notice	Apprentice and Conditional claiming structure	Supersedes older winner thresholds still visible in some BHA pages/PDF text.
GBIRE-SRC-005	GB	BHA	official_explainer	How handicap weights are determined	https://www.britishhorseracing.com/races-can-horse-run-handicap-rating/	2026-09-10	current_reference	handicap rating; WFA; claims; penalties	Useful authority explanation; exact current claim thresholds must follow superseding notices.
GBIRE-SRC-006	GB	BHA	official_change_notice	New Rule to prevent horses from running more than 15lbs out of the handicap	https://www.britishhorseracing.com/press_releases/new-rule-to-prevent-horses-from-running-more-than-15lbs-out-of-the-handicap/	2026-09-10	current_2026_rule	out of the handicap	Rule effective 2026-01-07.
GBIRE-SRC-007	GB	BHA	official_programme_notice	Changes to 2026 two-year-old programme	https://www.britishhorseracing.com/changes-to-2026-two-year-old-programme/	2026-09-10	current_2026_programme	Novice; Maiden; Nursery Handicap; rating ranges; restricted races	Confirms current operational use in 2026.
GBIRE-SRC-008	IRE	IHRB	official_operational	Safety Limits	https://www.ihrb.ie/safety-limits/	2026-09-10	current_2026	Juvenile Hurdle; Academy Hurdle; Bumper; Beginners/Novice/Hunter Chase; Qualified Riders	Current racecourse runner-limit terminology.
GBIRE-SRC-009	IRE	IHRB	official_operational	Non Runners and Reserves	https://www.ihrb.ie/non-runners/	2026-09-10	current_2026	Non Runner; Reserve Declaration; Nomination of Rider; Overweight; Clerk of the Scales	Current live operational terminology and procedures.
GBIRE-SRC-010	IRE	IHRB	official_regulatory	Regulation & Integrity	https://www.ihrb.ie/regulation-integrity-2af009305a45f8aa44b36484a446f141/	2026-09-10	current_2026	Qualified Rider; Raceday Stewards; Appeals Body; RIO	Current regulatory role terminology.
GBIRE-SRC-011	IRE	IHRB	official_licensing	Licensees	https://www.ihrb.ie/licensees-landing	2026-09-10	current_2026	Jockey; Qualified Rider; licence; racecourse; jockey agent; jockey valet	Current licensing vocabulary.
GBIRE-SRC-012	IRE	IHRB	official_fees	Riders Fees	https://www.ihrb.ie/jockey-fees/	2026-09-10	current_from_2025-12-01	Qualified Rider Accident Fund; Qualified Riders Association; licence and registration fee vocabulary	Supports Qualified Rider as an institutional/current term.
GBIRE-SRC-013	IRE	IHRB	official_licensing	Obtaining A Jockey Licence	https://www.ihrb.ie/how-to-get-a-jockey-licence	2026-09-10	current_2026	Claiming Professional Jockey; Professional Jockey; licence renewal	IHRB explicitly distinguishes Claiming Professional as a jockey licence/status category. This source does not by itself establish a universal claim amount.
