query_id	concept_id	related_concept_id	query	language	country_or_locale	search_intent	query_type	priority	future_target	review_state	source_basis
SQ-5001	RTYPE-006		What does Bumper mean in British and Irish National Hunt racing?	en	en-GB	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	REL2-LBL-004;REL2-LBL-005
SQ-5002	RTYPE-006		英国・アイルランドの障害競馬でBumperとはどういう意味？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	REL2-LBL-004;REL2-LBL-005
SQ-5003	MEET-042		What does Meeting mean in France Galop terminology?	en	fr-FR	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	REL2-LBL-006
SQ-5004	MEET-042		フランス競馬でMeetingとは何を指す？1日の開催とはどう違う？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	REL2-LBL-006
SQ-5005	MEET-001		What does Réunion mean in French horse racing?	en	fr-FR	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	REL2-LBL-007
SQ-5006	MEET-001		フランス競馬でRéunionとは何を指す？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	REL2-LBL-007
SQ-5007	RESULT-030		What does Musique mean in French racing form?	en	fr-FR	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	REL2-LBL-008
SQ-5008	RESULT-030		フランス競馬の成績表でMusiqueとは何を意味する？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	REL2-LBL-008
SQ-5009	SURF-012		What does Track Rating mean in Australian horse racing?	en	en-AU	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW3-LBL-003
SQ-5010	SURF-012		豪州競馬のTrack Ratingとは何を表す？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW3-LBL-003
SQ-5011	VENUE-003		What does Track mean in US harness racing venue listings?	en	en-US	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW3-LBL-004
SQ-5012	VENUE-003		米国の繋駕競馬でTrackは競馬場一覧では何を指す？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW3-LBL-004
SQ-5013	HORSE-034		What does mudlark mean in Australian and New Zealand horse racing?	en	en-AU-NZ	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-001;RELW4-LBL-002
SQ-5014	HORSE-034		豪州・ニュージーランド競馬でmudlarkとはどんな馬？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-001;RELW4-LBL-002
SQ-5015	RUN-047		What does under double wraps mean in Australian race commentary?	en	en-AU	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-003
SQ-5016	RUN-047		豪州競馬の実況でunder double wrapsとはどういう状態？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-003
SQ-5017	RUN-047		What does on the bit or on the bridle mean in New Zealand race commentary?	en	en-NZ	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-004
SQ-5018	RUN-047		ニュージーランド競馬の実況でon the bit / on the bridleとはどういう状態？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-004
SQ-5019	RUN-048		What does off the bit or off the bridle mean in New Zealand race commentary?	en	en-NZ	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-005
SQ-5020	RUN-048		ニュージーランド競馬の実況でoff the bit / off the bridleとはどういう状態？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-005
SQ-5021	BET-043		What does backed off the map mean in Australian horse-racing betting?	en	en-AU	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-006
SQ-5022	BET-043		豪州競馬の馬券表現でbacked off the mapとはどういう意味？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-006
SQ-5023	BET-044		What does 一本かぶり mean in Japanese horse-racing betting?	en	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-007
SQ-5024	BET-044		JRAの競馬用語で「一本かぶり」とはどういう意味？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	RELW4-LBL-007
SQ-5025	ENTRY-030		What does barrier mean in Australian horse racing?	en	en-AU	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	AUNZ-LBL-001
SQ-5026	ENTRY-030		豪州競馬でbarrierとは何を指す？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	AUNZ-LBL-001
SQ-5027	RTYPE-054		What does Benchmark Handicap mean in Australian horse racing?	en	en-AU	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	AUNZ-LBL-006
SQ-5028	RTYPE-054		豪州競馬のBenchmark Handicapとはどんな競走？	ja	ja-JP	regional_usage	regional_label_usage	P1	concept_or_regional_sections	source_derived_reviewed	AUNZ-LBL-006
