verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
PBV-001	PRIZE-003	PRIZE	candidate	source_verified	PB-SRC-001;PB-SRC-002;PB-SRC-003	2026-09-11	Authority programmes/guidance support race-level prize totals/funds while composition remains jurisdiction-specific.
PBV-002	PRIZE-004	PRIZE	candidate	source_verified	PB-SRC-001;PB-SRC-002	2026-09-11	JRA and Racing Australia directly publish first-place/winner prize allocations.
PBV-003	PRIZE-005	PRIZE	candidate	source_verified	PB-SRC-001;PB-SRC-002;PB-SRC-003	2026-09-11	Authority sources publish prize allocations across multiple placings; number of paid places is not universalized.
PBV-004	PRIZE-006	PRIZE	candidate	source_verified	PB-SRC-004	2026-09-11	Equibase supports North American added-money semantics for stakes purses; scope narrowed to North America/Regional.
PBV-005	PRIZE-008	PRIZE	candidate	source_verified	PB-SRC-003;PB-SRC-002	2026-09-11	France Galop directly documents breeder premiums; Australian breeder bonus corroborates related regional schemes without claiming identical rules.
PBV-006	PRIZE-009	PRIZE	candidate	source_verified	PB-SRC-003;PB-SRC-002	2026-09-11	France Galop directly documents owner premiums; Australian owner bonus corroborates related regional schemes without claiming identical rules.
PBV-007	BET-006	BET	candidate	source_verified	PB-SRC-005;PB-SRC-006	2026-09-11	Official Tote and NYRA guidance support pooled-wager stake aggregation/distribution semantics.
PBV-008	BET-007	BET	candidate	source_verified	PB-SRC-006	2026-09-11	NYRA directly defines takeout from wagering pools; statutory allocation remains jurisdiction-specific.
PBV-009	BET-008	BET	candidate	source_verified	PB-SRC-005;PB-SRC-007;PB-SRC-009	2026-09-11	Official sources support Dividend as the published return/payout for pool wagers.
PBV-010	BET-012	BET	candidate	source_verified	PB-SRC-006	2026-09-11	NYRA directly defines Show wagering as the selected horse finishing first, second or third.
PBV-011	BET-013	BET	candidate	source_verified	PB-SRC-005;PB-SRC-009	2026-09-11	Tote/Jockey Club sources support Each-Way as combined Win and Place betting; place conditions remain local.
PBV-012	BET-014	BET	candidate	source_verified	PB-SRC-006;PB-SRC-007;PB-SRC-008	2026-09-11	Quinella is verified as selecting the first two finishers in any order; regional forecast labels are handled separately.
PBV-013	BET-015	BET	candidate	source_verified	PB-SRC-006;PB-SRC-008;PB-SRC-009	2026-09-11	Exacta is verified as selecting first and second in exact order; Straight Forecast is retained as a regional label.
PBV-014	BET-016	BET	candidate	source_verified	PB-SRC-006;PB-SRC-008	2026-09-11	Trifecta is verified as selecting the first three in exact order; Tricast/Tierce labels are dispositioned into this mechanic.
PBV-015	BET-017	BET	candidate	source_verified	PB-SRC-007	2026-09-11	HKJC directly verifies Trio as selecting the first three in any order; keep Asia/Regional scope.
PBV-016	BET-018	BET	candidate	source_verified	PB-SRC-006	2026-09-11	NYRA directly verifies Superfecta as the first four finishers in exact order.
PBV-017	BET-019	BET	candidate	source_verified	PB-SRC-006	2026-09-11	NYRA directly verifies Daily Double as selecting the winners of two designated races.
PBV-018	BET-020	BET	candidate	source_verified	PB-SRC-006	2026-09-11	NYRA directly verifies Pick 3 multiple-race winner selection.
PBV-019	BET-021	BET	candidate	source_verified	PB-SRC-006	2026-09-11	NYRA directly verifies Pick 4 multiple-race winner selection.
PBV-020	BET-022	BET	candidate	source_verified	PB-SRC-006	2026-09-11	NYRA directly verifies Pick 5 multiple-race winner selection.
PBV-021	BET-023	BET	candidate	source_verified	PB-SRC-006	2026-09-11	NYRA directly verifies Pick 6 multiple-race winner selection.
PBV-022	BET-029	BET	candidate	source_verified	PB-SRC-011;PB-SRC-012	2026-09-11	Equibase defines morning line as advance predicted odds and current NYRA usage corroborates the term.
PBV-023	BET-032	BET	candidate	source_verified	PB-SRC-009;PB-SRC-010	2026-09-11	Current Jockey Club material supports Longshot in racing-betting usage without assigning a universal odds threshold.
PBV-024	BET-033	BET	candidate	source_verified	PB-SRC-009;PB-SRC-010	2026-09-11	Current Jockey Club material supports Outsider as a runner not strongly fancied by the market.
PBV-025	BET-034	BET	candidate	source_verified	PB-SRC-009;PB-SRC-010	2026-09-11	Current Jockey Club material supports Odds-on as shorter than evens / potential profit below stake.
PBV-026	BET-035	BET	candidate	source_verified	PB-SRC-009;PB-SRC-010	2026-09-11	Current Jockey Club material supports Evens as even-money/1-to-1 pricing.
PBV-027	BET-036	BET	candidate	source_verified	PB-SRC-009	2026-09-11	Jockey Club directly defines decimal odds as a return multiplier including stake.
PBV-028	BET-040	BET	candidate	source_verified	PB-SRC-006	2026-09-11	NYRA directly defines Across the Board as Win, Place and Show wagers on the same horse.
PBV-029	BET-024	BET	candidate	retired_merge	PB-SRC-008;PB-SRC-009	2026-09-11	The seed's exact-order Forecast sense is retired into BET-015 Exacta; Forecast/Straight Forecast remain scoped labels because generic Forecast can be ambiguous.
PBV-030	BET-025	BET	candidate	retired_merge	PB-SRC-008;PB-SRC-009	2026-09-11	Reverse/Dual Forecast is retired into BET-014 Quinella because both express first two in either order.
PBV-031	BET-026	BET	candidate	retired_merge	PB-SRC-007;PB-SRC-008	2026-09-11	Tricast/Tierce is retired into BET-016 Trifecta because both express first three in exact order.
