jurisdiction	authority	observed_term	mapping_target	mapping_type	verification_status	source_url	note
GB	BHA	Flat Season	NEW-DISC-GB-FLAT-SEASON	new_candidate	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	BHA Race Administration Manual explicitly names Flat Season.
GB	BHA	Winter Flat Season	NEW-DISC-GB-WINTER-FLAT-SEASON	new_candidate	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	BHA season terminology; do not flatten into generic Season without note.
GB	BHA	Jump Season	NEW-DISC-GB-JUMP-SEASON	new_candidate	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	BHA season terminology for steeple chasing and hurdle racing.
GB	BHA	Steeple Chase	DISC-006	regional_label	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	Official BHA wording observed alongside hurdle racing.
GB	BHA	Hurdle Race	DISC-005	regional_label	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	Official BHA wording.
GB	BHA	National Hunt Flat Race	RTYPE-006	exact_or_near	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	Official BHA race type.
GB	BHA	Match race	RTYPE-040	exact	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	BHA manual defines Match as a race between horses of two different Owners on agreed terms with no added money/prize.
GB	BHA	Private Sweepstakes	NEW-RTYPE-GB-PRIVATE-SWEEPSTAKES	new_candidate	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	Official BHA defined race type not in current seed.
GB	BHA	Total Race Value Race	NEW-RTYPE-GB-TOTAL-RACE-VALUE	new_candidate	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	Official BHA defined race type not in current seed.
GB	BHA	Apprentice Jockey	ROLE-002	exact	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	BHA licence category.
GB	BHA	Conditional Jockey	ROLE-003	exact	observed_official	https://media.britishhorseracing.com/bha/Rules/BHA_Rules_Of_Racing.pdf	BHA licence category; Jump-specific regional role.
GB	BHA	Clerk of the Course	ROLE-020	exact	observed_official	https://www.britishhorseracing.com/regulation/rules-guides/	BHA General Instructions include appointment and duties of Clerks of the Course.
GB	BHA	Going Report	NEW-SURF-GB-GOING-REPORT	new_candidate	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	Official BHA racecourse reporting term.
GB	BHA	GoingStick	NEW-SURF-GB-GOINGSTICK	new_candidate	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	Official measurement device/reporting term; not identical to Going.
GB	BHA	Hard	NEW-SURF-GB-HARD	new_candidate	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	One of BHA's permitted official turf going descriptions; missing from seed.
GB	BHA	Firm	SURF-013	exact	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	BHA official turf going description.
GB	BHA	Good to Firm	SURF-014	exact	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	BHA official turf going description.
GB	BHA	Good	SURF-015	exact	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	BHA official turf going description.
GB	BHA	Good to Soft	SURF-016	exact	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	BHA official turf going description.
GB	BHA	Soft	SURF-017	exact	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	BHA official turf going description.
GB	BHA	Heavy	SURF-018	exact	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	BHA official turf going description.
GB	BHA	Good to Firm (Firm in Places)	SURF-014	qualified_label	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	BHA explicitly permits predominant description plus in-places qualifier; model as compositional label, not new base condition.
GB	BHA	Good (fast)	SURF-015	qualified_label	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	BHA permits parenthetical fast detail.
GB	BHA	Good (slow)	SURF-015	qualified_label	observed_official	https://media.britishhorseracing.com/bha/Rules/BHAGI/Section3_The_Racecourse.pdf	BHA permits parenthetical slow detail.
IRE	IHRB	Recognised Meeting	MEET-001	jurisdiction_defined_label	observed_official	https://www.ihrb.ie/getattachment/9194d75f-5fb1-4af5-9f64-13eea97b05b5/260324-MASTER-RULEBOOK-_-as-Amended-24-3-25-compressed.pdf?lang=en-US	IHRB defines a Recognised Meeting as a meeting authorised by a recognised Turf Authority; Ireland by IHRB.
IRE	IHRB	Rating	NEW-WEIGHT-IRE-RATING	new_candidate	observed_official	https://www.ihrb.ie/getattachment/9194d75f-5fb1-4af5-9f64-13eea97b05b5/260324-MASTER-RULEBOOK-_-as-Amended-24-3-25-compressed.pdf?lang=en-US	IHRB definition: numerical assessment of a Horse's ability by a Handicapper.
IRE	IHRB	Rating Band	NEW-WEIGHT-IRE-RATING-BAND	new_candidate	observed_official	https://www.ihrb.ie/getattachment/9194d75f-5fb1-4af5-9f64-13eea97b05b5/260324-MASTER-RULEBOOK-_-as-Amended-24-3-25-compressed.pdf?lang=en-US	Official IHRB defined term.
IRE	IHRB	Reserve	ENTRY-012	jurisdiction_defined_label	observed_official	https://www.ihrb.ie/getattachment/9194d75f-5fb1-4af5-9f64-13eea97b05b5/260324-MASTER-RULEBOOK-_-as-Amended-24-3-25-compressed.pdf?lang=en-US	IHRB gives a specific definition: declared to run, balloted out, possible runner after withdrawal.
IRE	IHRB	Rider	NEW-ROLE-IRE-RIDER	new_candidate	observed_official	https://www.ihrb.ie/getattachment/9194d75f-5fb1-4af5-9f64-13eea97b05b5/260324-MASTER-RULEBOOK-_-as-Amended-24-3-25-compressed.pdf?lang=en-US	Official umbrella role term; not identical to licensed Jockey.
IRE	IHRB	Irish National Hunt Flat Race	RTYPE-006	regional_official_label	observed_official	https://www.ihrb.ie/regulatory-notices/rule-changes-3-september	IHRB states this may be referred to and known as an I.N.H. Flat Race.
IRE	IHRB	I.N.H. Flat Race	RTYPE-006	official_abbreviation	observed_official	https://www.ihrb.ie/regulatory-notices/rule-changes-3-september	Official IHRB regional abbreviation/label; preserve punctuation and original capitalization.
IRE	IHRB	Maiden	RTYPE-001	jurisdiction_specific_definition	observed_official	https://www.ihrb.ie/regulatory-notices/rule-changes-3-september	IHRB has separate Flat and I.N.H.S. definitions; one global definition is insufficient.
IRE	IHRB	Academy Hurdle	NEW-RTYPE-IRE-ACADEMY-HURDLE	new_candidate	observed_official	https://www.ihrb.ie/regulatory-notices/rule-changes-3-september	Official IHRB-defined 3yo hurdle type.
IRE	IHRB	Qualified Rider	NEW-ROLE-IRE-QUALIFIED-RIDER	new_candidate	observed_official	https://www.ihrb.ie/how-to-get-a-jockey-licence/	IHRB permit category distinct from generic amateur rider/jockey.
IRE	IHRB	Category A1 Permit	NEW-ROLE-IRE-QR-A1	new_candidate	observed_official	https://www.ihrb.ie/how-to-get-a-jockey-licence/	Qualified Rider permit subtype; allows National Hunt Flat and specified Flat races.
IRE	IHRB	Category A3 Permit	NEW-ROLE-IRE-QR-A3	new_candidate	observed_official	https://www.ihrb.ie/how-to-get-a-jockey-licence/	Qualified Rider permit subtype that also covers Point-to-Points.
IRE	IHRB	Claiming Professional Jockey	NEW-ROLE-IRE-CLAIMING-PRO	new_candidate	observed_official	https://www.ihrb.ie/how-to-get-a-jockey-licence/	IHRB current licence terminology; should not be collapsed into Apprentice Jockey without review.
IRE	IHRB	Non Runner	ENTRY-018	regional_label	observed_official	https://www.ihrb.ie/non-runners/	Current IHRB public terminology.
IRE	IHRB	Reserve Declaration	NEW-ENTRY-IRE-RESERVE-DECLARATION	new_candidate	observed_official	https://www.ihrb.ie/non-runners/	Current IHRB operational term.
IRE	IHRB	Nomination of Rider	NEW-ENTRY-IRE-RIDER-NOMINATION	new_candidate	observed_official	https://www.ihrb.ie/non-runners/	Current IHRB operational term.
IRE	IHRB	Clerk of the Scales	ROLE-021	exact	observed_official	https://www.ihrb.ie/non-runners/	Current IHRB race-day official role.
IRE	IHRB	Overweight	WEIGHT-018	exact	observed_official	https://www.ihrb.ie/non-runners/	Current IHRB declaration/race-day term.
IRE	IHRB	Winner's penalty	WEIGHT-009	regional_label	observed_official	https://www.ihrb.ie/non-runners/	Current IHRB race-day weight term.
IRE	IHRB	Irish Racing Calendar	NEW-MEET-IRE-RACING-CALENDAR	new_candidate	observed_official	https://www.ihrb.ie/data/Rulebook.pdf?lang=en-US	IHRB-defined official weekly publication; distinct from generic racing calendar concept.
IRE	IHRB	Irish Form Book	NEW-MEET-IRE-FORM-BOOK	new_candidate	observed_official	https://www.ihrb.ie/data/Rulebook.pdf?lang=en-US	IHRB-defined official Race results publication by Horse Racing Ireland.
IRE	IHRB	Raceday Stewards	ROLE-016	regional_collective_label	observed_official	https://www.ihrb.ie/	Current IHRB public term for stewards acting at a meeting.
IRE	IHRB	Ground Reports	NEW-SURF-IRE-GROUND-REPORTS	new_candidate	observed_official	https://www.ihrb.ie/	IHRB public label for Going Reports for upcoming race meetings.
IRE	IHRB	Bumpers	RTYPE-005	colloquial_or_operational_plural	observed_official	https://www.ihrb.ie/safety-limits/	IHRB uses Bumpers in current official safety-limits page; confirms official operational use of colloquial term.
IRE	IHRB	Beginners / Novice / Hunter Chases	RTYPE-004	compound_operational_labels	observed_official	https://www.ihrb.ie/safety-limits/	Confirms Beginners, Novice and Hunter Chase families in current official operational use; Hunter Chase needs separate candidate.
IRE	IHRB	Hunter Chase	NEW-RTYPE-IRE-HUNTER-CHASE	new_candidate	observed_official	https://www.ihrb.ie/safety-limits/	Current IHRB operational race type.
IRE	IHRB	Juvenile Hurdle	NEW-RTYPE-IRE-JUVENILE-HURDLE	new_candidate	observed_official	https://www.ihrb.ie/safety-limits/	Current IHRB operational race type; page explains age scope for safety limits.
IRE	IHRB	Cross Country Races	DISC-007	regional_label	observed_official	https://www.ihrb.ie/safety-limits/	Current IHRB operational label at Punchestown.
IRE	IHRB	Going description	SURF-011	regional_official_label	observed_official	https://www.ihrb.ie/daily-enquiries/Kilbeggan%2015th%20June%202026	IHRB stewards report records amendment of going description.
IRE	IHRB	Hurdle and bumper courses	NEW-VENUE-IRE-HURDLE-BUMPER-COURSES	new_candidate	observed_official	https://www.ihrb.ie/daily-enquiries/Kilbeggan%2015th%20June%202026	Official race-day wording shows course-level distinction worth preserving as venue/course metadata.
