verification_id	concept_id	category_id	previous_status	new_status	source_ids	verified_at	note
ETV1-001	EQUIP-007	EQUIP	candidate	source_verified	ET-SRC-002;ET-SRC-005	2026-09-11	Noseband identity is verified from JRA overseas terminology and current Australian gear usage; definition keeps nose-band variants and rules jurisdiction-specific.
ETV1-002	EQUIP-009	EQUIP	candidate	source_verified	ET-SRC-002;ET-SRC-004	2026-09-11	JRA maps ear plug to 耳せん and USTA directly explains harness-racing ear-plug use.
ETV1-003	EQUIP-010	EQUIP	candidate	source_verified	ET-SRC-002;ET-SRC-005	2026-09-11	Pacifier is confirmed as an overseas-racing equipment label and as current 2026 Australian race gear; construction is not overgeneralized.
ETV1-004	EQUIP-013	EQUIP	candidate	source_verified	ET-SRC-001;ET-SRC-002	2026-09-11	JRA directly defines 馬銜 and maps bit to ハミ.
ETV1-005	EQUIP-014	EQUIP	candidate	source_verified	ET-SRC-001;ET-SRC-002	2026-09-11	JRA maps reins to 手綱 and explains rein action transmitting rider cues through the bit.
ETV1-006	EQUIP-015	EQUIP	candidate	source_verified	ET-SRC-001	2026-09-11	JRA directly defines 鐙 as the equipment on which a rider places the feet.
ETV1-007	EQUIP-016	EQUIP	candidate	source_verified	ET-SRC-001	2026-09-11	JRA directly defines 腹帯 as a saddle attachment tightened around the horse's chest.
ETV1-008	EQUIP-017	EQUIP	candidate	source_verified	ET-SRC-001;ET-SRC-002	2026-09-11	JRA directly defines 胸がい and maps breast plate to the same equipment term.
ETV1-009	EQUIP-018	EQUIP	candidate	source_verified	ET-SRC-001;ET-SRC-002	2026-09-11	JRA directly defines マルタンガール as auxiliary horse gear and maps martingale to the term.
ETV1-010	EQUIP-019	EQUIP	candidate	source_verified	ET-SRC-001;ET-SRC-002	2026-09-11	JRA defines 蹄鉄 and maps horseshoe/racing plate to the Japanese racing term.
ETV1-011	EQUIP-020	EQUIP	candidate	source_verified	ET-SRC-003	2026-09-11	Equibase recognizes Bar Shoes as a distinct North American past-performance equipment code; detailed construction is left jurisdiction-specific.
ETV1-012	EQUIP-021	EQUIP	candidate	source_verified	ET-SRC-003	2026-09-11	Equibase recognizes Glued Shoes as a distinct North American past-performance equipment code.
ETV1-013	EQUIP-025	EQUIP	candidate	source_verified	ET-SRC-001;ET-SRC-004	2026-09-11	JRA and USTA independently support Whip as racing equipment while use restrictions remain jurisdiction-specific.
ETV1-014	TRAIN-006	TRAIN	candidate	source_verified	ET-SRC-007	2026-09-11	JRA overseas-racing vocabulary maps gallop to ギャロップ／襲歩 in training context; no universal intensity is asserted.
ETV1-015	TRAIN-009	TRAIN	candidate	source_verified	ET-SRC-006	2026-09-11	JRA maps schooling to スクーリング／事前下見; the seed's over-broad list of schooling activities was narrowed.
ETV1-016	TRAIN-015	TRAIN	candidate	source_verified	ET-SRC-008	2026-09-11	Current USTA-produced material explicitly schedules Qualifiers and qualifying standards in US Harness racing.
ETV1-017	TRAIN-016	TRAIN	candidate	source_verified	ET-SRC-006;ET-SRC-009	2026-09-11	JRA maps warm up to 返し馬 and USTA independently describes pre-race track warm-ups.
ETV1-018	TRAIN-018	TRAIN	candidate	source_verified	ET-SRC-009	2026-09-11	USTA directly defines the post parade as the pre-start on-track introduction phase.
ETV1-019	TRAIN-019	TRAIN	candidate	source_verified	ET-SRC-010	2026-09-11	The Jockey Club defines horses on the way to the start as going down to post; scope narrowed to British/Commonwealth usage.
ETV1-020	TRAIN-023	TRAIN	candidate	source_verified	ET-SRC-011	2026-09-11	Racing Victoria directly defines Spell as at least a two-month/60-day break from racing; threshold stays jurisdiction-bound.
