label_id	concept_id	language	locale	script	label	label_type	jurisdiction	authority	discipline	register	currentness	verification_status	source_id	note
HKKR-LBL-001	RTYPE-084	zh	zh-HK	Hant	第一班	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-013	Current HKJC Traditional-Chinese class label.
HKKR-LBL-002	RTYPE-085	zh	zh-HK	Hant	第二班	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-013	Current class label.
HKKR-LBL-003	RTYPE-086	zh	zh-HK	Hant	第三班	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-013	Current class label.
HKKR-LBL-004	RTYPE-087	zh	zh-HK	Hant	第四班	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-013	Current class label.
HKKR-LBL-005	RTYPE-088	zh	zh-HK	Hant	第五班	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-013	Current class label.
HKKR-LBL-006	RTYPE-084	en	en-HK	Latn	Class 1	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-003	HKJC English class label.
HKKR-LBL-007	RTYPE-085	en	en-HK	Latn	Class 2	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-003	HKJC English class label.
HKKR-LBL-008	RTYPE-086	en	en-HK	Latn	Class 3	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-003	HKJC English class label.
HKKR-LBL-009	RTYPE-087	en	en-HK	Latn	Class 4	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-003	HKJC English class label.
HKKR-LBL-010	RTYPE-088	en	en-HK	Latn	Class 5	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-003	HKJC English class label.
HKKR-LBL-011	RTYPE-089	zh	zh-HK	Hant	新馬賽	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-007	Current Traditional-Chinese Griffin Race label.
HKKR-LBL-012	RTYPE-089	en	en-HK	Latn	Griffin Race	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-014	Current English race label.
HKKR-LBL-013	HORSE-033	en	en-HK	Latn	Griffin	official	Hong Kong	HKJC	Flat	regulatory	current_2025_26	source_verified	HKKR-SRC-001	Formal Rules-defined horse status.
HKKR-LBL-014	SURF-059	zh	zh-HK	Hant	度地儀指數	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-007	Traditional-Chinese penetrometer-reading label.
HKKR-LBL-015	SURF-059	en	en-HK	Latn	Penetrometer Reading	official	Hong Kong	HKJC	Flat	formal	current	source_verified	HKKR-SRC-002	HKJC reference label.
HKKR-LBL-016	SURF-060	zh	zh-HK	Hant	硬度計指數	official	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-007	Traditional-Chinese AWT Clegg reading label.
HKKR-LBL-017	SURF-060	en	en-HK	Latn	Clegg Hammer Reading	official	Hong Kong	HKJC	Flat	formal	current	source_verified	HKKR-SRC-002	HKJC AWT reference label.
HKKR-LBL-018	SURF-063	zh	zh-HK	Hant	好地至黏地	official_condition	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-007	Current Traditional-Chinese Good to Yielding label.
HKKR-LBL-019	SURF-063	en	en-HK	Latn	Good To Yielding	official_condition	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-002	Official turf Going category.
HKKR-LBL-020	SURF-063	en	en-HK	Latn	G/Y	official_code	Hong Kong	HKJC	Flat	formal	current	source_verified	HKKR-SRC-002	HKJC going code.
HKKR-LBL-021	SURF-019	zh	zh-HK	Hant	黏地	regional_condition	Hong Kong	HKJC	Flat	formal	current_2026	source_verified	HKKR-SRC-007	HKJC Traditional-Chinese Yielding label.
HKKR-LBL-022	SURF-061	en	en-HK	Latn	Rain affected	official_awt_condition	Hong Kong	HKJC	Flat	formal	current	source_verified	HKKR-SRC-002	AWT condition.
HKKR-LBL-023	SURF-061	en	en-HK	Latn	RA	official_code	Hong Kong	HKJC	Flat	formal	current	source_verified	HKKR-SRC-002	AWT condition code.
HKKR-LBL-024	SURF-062	en	en-HK	Latn	Normal watering	official_awt_condition	Hong Kong	HKJC	Flat	formal	current	source_verified	HKKR-SRC-002	AWT condition.
HKKR-LBL-025	SURF-062	en	en-HK	Latn	NW	official_code	Hong Kong	HKJC	Flat	formal	current	source_verified	HKKR-SRC-002	AWT condition code.
HKKR-LBL-026	TRAIN-011	en	en-HK	Latn	Barrier Trial	regional_official	Hong Kong	HKJC	Flat	regulatory	current_2025_26	source_verified	HKKR-SRC-001	HKJC formal trial terminology.
HKKR-LBL-027	TRAIN-026	en	en-HK	Latn	Stalls Test	official	Hong Kong	HKJC	Flat	regulatory	current_2025_26	source_verified	HKKR-SRC-001	Separate test from Barrier Trial.
HKKR-LBL-028	RTYPE-090	ko	ko-KR	Hang	1등급	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA Class 1.
HKKR-LBL-029	RTYPE-091	ko	ko-KR	Hang	2등급	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA Class 2.
HKKR-LBL-030	RTYPE-092	ko	ko-KR	Hang	3등급	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA Class 3.
HKKR-LBL-031	RTYPE-093	ko	ko-KR	Hang	4등급	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA Class 4.
HKKR-LBL-032	RTYPE-094	ko	ko-KR	Hang	5등급	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA Class 5.
HKKR-LBL-033	RTYPE-095	ko	ko-KR	Hang	6등급	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA Class 6.
HKKR-LBL-034	RTYPE-096	ko	ko-KR	Hang	대상경주	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA major-race programme category.
HKKR-LBL-035	RTYPE-097	ko	ko-KR	Hang	특별경주	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA special-race category.
HKKR-LBL-036	RTYPE-098	ko	ko-KR	Hang	일반경주	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA general-race category.
HKKR-LBL-037	WEIGHT-032	ko	ko-KR	Hang	별정 A	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA weight method A.
HKKR-LBL-038	WEIGHT-033	ko	ko-KR	Hang	별정 B	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA weight method B.
HKKR-LBL-039	WEIGHT-034	ko	ko-KR	Hang	별정 C	official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA weight method C.
HKKR-LBL-040	WEIGHT-003	ko	ko-KR	Hang	마령중량	regional_official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA age-weight terminology; jurisdiction definition required.
HKKR-LBL-041	WEIGHT-002	ko	ko-KR	Hang	핸디캡중량	regional_official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA handicap-weight terminology.
HKKR-LBL-042	WEIGHT-022	ko	ko-KR	Hang	레이팅	regional_official	Korea	KRA	Flat	formal	current_2026	source_verified	HKKR-SRC-009	KRA rating system label.
HKKR-LBL-043	HORSE-027	ko	ko-KR	Hang	국산마	regional_official	Korea	KRA	Flat	formal	current	source_verified	HKKR-SRC-011	Current KRA domestic-bred label.
HKKR-LBL-044	HORSE-028	ko	ko-KR	Hang	외산마	regional_official	Korea	KRA	Flat	formal	current	source_verified	HKKR-SRC-011	Current KRA foreign-bred label.
